num_threads;nx;result;seconds
1;512;0.0402737;3.9726
2;512;0.0402737;2.46281
3;512;0.0402737;1.92265
4;512;0.0402737;1.66377
5;512;0.040269;1.4767
6;512;0.0402738;1.38038
7;512;0.040274;1.25887
8;512;0.0402712;3.03772
1;1024;0.0578281;13.8142
2;1024;0.0578281;8.51086
3;1024;0.0578281;7.12662
4;1024;0.0578281;5.84463
5;1024;0.0578281;5.49101
6;1024;0.0578282;5.40713
7;1024;0.0578282;5.21959
8;1024;0.0578282;4.33923
1;2048;0.0820855;59.3386
2;2048;0.0820855;35.0951
3;2048;0.0820855;27.9143
4;2048;0.0820855;24.5394
5;2048;0.0820855;23.6125
6;2048;0.0820855;21.792
7;2048;0.0820855;20.5558
8;2048;0.0820855;19.8375
